"Id";"Name";"Order";"CategoryId";"Country";"Region";"IsActive";"CountryCode";"Language";"IsMajor";"IsInternational"
"sr:tournament:326";"Beker van Belgie";1000;"sr:category:33";"Belgium";"other";1;"";"en-US";0;0
"sr:tournament:327";"League Cup";1000;"sr:category:44";"Portugal";"other";1;"";"en-US";0;0
"sr:tournament:328";"Coppa Italia";108;"sr:category:31";"Italy";"other";1;"ITA";"en-US";1;0
"sr:tournament:329";"Copa del Rey";93;"sr:category:32";"Spain";"other";1;"ESP";"en-US";1;0
"sr:tournament:330";"KNVB beker";1000;"sr:category:35";"Netherlands";"other";1;"";"en-US";0;0
"sr:tournament:331";"Challenge Cup";1000;"sr:category:22";"Scotland";"other";1;"";"en-US";0;0
"sr:tournament:332";"League Cup";1000;"sr:category:22";"Scotland";"other";1;"";"en-US";0;0
"sr:tournament:333";"Coupe de la Ligue";114;"sr:category:7";"France";"other";1;"FRA";"en-US";1;0
"sr:tournament:334";"EFL Trophy";86;"sr:category:1";"England";"other";1;"ENG";"en-US";1;0
"sr:tournament:335";"Coupe de France";113;"sr:category:7";"France";"other";1;"FRA";"en-US";1;0
"sr:tournament:336";"Taca de Portugal";1000;"sr:category:44";"Portugal";"other";0;"";"en-US";0;0
"sr:tournament:338";"Super Cup";1000;"sr:category:33";"Belgium";"other";0;"";"en-US";0;0
"sr:tournament:339";"Trophée des Champions";115;"sr:category:7";"France";"other";1;"FRA";"en-US";1;0
"sr:tournament:34";"Ligue 1";21;"sr:category:7";"France";"eu";1;"FRA";"en-US";1;0
"sr:tournament:340";"Johan Cruijff Schaal";1000;"sr:category:35";"Netherlands";"other";0;"";"en-US";0;0
"sr:tournament:341";"Super Cup";103;"sr:category:31";"Italy";"other";1;"ITA";"en-US";1;0
"sr:tournament:342";"Berlusconi Trophy";1000;"sr:category:31";"Italy";"other";0;"";"en-US";0;0
"sr:tournament:343";"Serie C";110;"sr:category:31";"Italy";"other";1;"ITA";"en-US";1;0
